index,date,K,M,N,M1,shots,n_circuits,max_qbits,n_ite,avg_ite_time,avg_similarity,SSE,silhouette,v_measure,nm_info
0,2021-12-23 16:50:03,2,500,2,16,1000,32,12,10,57.26,93.94,299.392,0.473,0.303,0.303
1,2021-12-23 16:50:03,2,500,2,16,2000,32,12,10,49.28,97.14,253.701,0.529,0.352,0.352
2,2021-12-23 16:50:03,2,500,2,16,4000,32,12,10,49.1,98.22,244.308,0.542,0.38,0.38
3,2021-12-23 16:50:03,2,500,2,16,8000,32,12,10,61.57,98.76,245.541,0.54,0.385,0.385
4,2021-12-23 16:50:03,2,500,2,16,16000,32,12,10,49.46,99.34,242.097,0.545,0.385,0.385
5,2021-12-23 16:50:03,2,500,2,16,32000,32,12,10,64.09,99.18,242.929,0.544,0.395,0.395
6,2021-12-23 16:50:03,2,500,2,16,64000,32,12,10,63.61,99.52,241.543,0.546,0.411,0.411
7,2021-12-23 16:50:03,2,500,2,16,128000,32,12,10,70.06,99.6,241.6,0.546,0.4,0.4
