index,date,K,M,N,M1,shots,n_circuits,max_qbits,n_ite,avg_ite_time,avg_similarity,SSE,silhouette,v_measure,nm_info
0,2021-12-19 10:05:38,3,500,2,2,5000,250,8,10,56.18,86.06,144.449,0.435,0.484,0.484
1,2021-12-19 10:05:38,3,500,2,4,7000,125,9,10,57.32,85.0,144.934,0.414,0.472,0.472
2,2021-12-19 10:05:38,3,500,2,8,11000,63,11,10,59.68,84.6,149.005,0.408,0.472,0.472
3,2021-12-19 10:05:38,3,500,2,16,19000,32,13,10,70.83,83.62,145.974,0.417,0.475,0.475
4,2021-12-19 10:05:38,3,500,2,32,35000,16,15,10,96.16,83.86,145.06,0.444,0.48,0.48
5,2021-12-19 10:05:38,3,500,2,64,67000,8,17,10,118.63,84.08,144.486,0.424,0.489,0.489
6,2021-12-19 10:05:38,3,500,2,128,131000,4,19,10,149.02,84.8,146.822,0.442,0.473,0.473
7,2021-12-19 10:05:38,3,500,2,256,259000,2,21,10,192.46,82.6,144.422,0.444,0.479,0.479
8,2021-12-19 10:05:38,3,500,2,500,500000,1,23,10,273.32,84.5,149.489,0.411,0.465,0.465
