index,date,q_v,K,M,N,M1,shots,n_circuits,max_qbits,n_ite,avg_ite_time,avg_ite_hw_time,treshold,avg_similarity,SSE,silhouette,v_measure,nm_info
0,2022-07-05 03:58:27,2,3,150,2,None,3072,0,7,10,281.1,0.0,0.0001,84.8,855.764,0.34,0.703,0.703
1,2022-07-05 04:45:18,3,3,150,2,150,460800,1,21,10,923.04,None,0.0001,83.2,866.898,0.303,0.706,0.706
2,2022-07-05 03:58:27,4,3,150,2,None,3072,0,10,10,260.02,None,0.0001,85.27,835.481,0.398,0.709,0.709
3,2022-07-05 04:41:47,5,3,150,2,150,460800,1,25,10,1022.62,None,0.0001,84.6,852.731,0.342,0.705,0.705
