index,date,K,M,N,M1,shots,n_circuits,max_qbits,n_ite,avg_ite_time,treshold,avg_similarity,SSE,silhouette,v_measure,nm_info
0,2022-02-08 13:58:32,3,150,2,2,5000,75,8,10,51.3,0,96.87,18.266,0.714,0.619,0.619
1,2022-02-08 14:07:06,3,150,2,4,7000,38,9,10,42.73,0,96.4,17.477,0.728,0.637,0.637
2,2022-02-08 13:58:32,3,150,2,8,11000,19,11,10,47.41,0,97.13,17.642,0.726,0.637,0.637
3,2022-02-08 14:06:27,3,150,2,16,19000,10,13,10,56.32,0,96.53,19.142,0.697,0.626,0.626
4,2022-02-08 13:58:32,3,150,2,32,35000,5,15,10,72.9,0,96.33,18.575,0.71,0.619,0.619
5,2022-02-08 14:10:42,3,150,2,64,67000,3,17,10,76.8,0,95.73,19.187,0.696,0.618,0.618
6,2022-02-08 13:58:32,3,150,2,128,131000,2,19,10,119.2,0,95.6,18.72,0.708,0.619,0.619
7,2022-02-08 14:18:25,3,150,2,150,153000,1,21,10,108.24,0,95.6,19.8,0.697,0.637,0.637
